,Date,Hour,Bio Fuel,Gas,Oil,Solar,Steam,Uranium,Water,Wind
2015-01-01 00:00:00,2015-01-01,1,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7422.0,2621.0
2015-01-01 01:00:00,2015-01-01,2,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7422.0,2605.0
2015-01-01 02:00:00,2015-01-01,3,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7422.0,2559.0
2015-01-01 03:00:00,2015-01-01,4,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7422.0,2541.0
2015-01-01 04:00:00,2015-01-01,5,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7422.0,2522.0
2015-01-01 05:00:00,2015-01-01,6,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7422.0,2563.0
2015-01-01 06:00:00,2015-01-01,7,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7422.0,2595.0
2015-01-01 07:00:00,2015-01-01,8,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7422.0,2605.0
2015-01-01 08:00:00,2015-01-01,9,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7422.0,2613.0
2015-01-01 09:00:00,2015-01-01,10,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7680.0,2672.0
2015-01-01 10:00:00,2015-01-01,11,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7680.0,2766.0
2015-01-01 11:00:00,2015-01-01,12,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7680.0,2664.0
2015-01-01 12:00:00,2015-01-01,13,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7578.0,2721.0
2015-01-01 13:00:00,2015-01-01,14,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7490.0,2755.0
2015-01-01 14:00:00,2015-01-01,15,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7490.0,2736.0
2015-01-01 15:00:00,2015-01-01,16,243.0,5409.0,1575.0,0.0,1866.0,11600.0,7568.0,2673.0
2015-01-01 16:00:00,2015-01-01,17,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7400.0,2707.0
2015-01-01 17:00:00,2015-01-01,18,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7508.0,2752.0
2015-01-01 18:00:00,2015-01-01,19,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7584.0,2753.0
2015-01-01 19:00:00,2015-01-01,20,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7435.0,2761.0
2015-01-01 20:00:00,2015-01-01,21,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7624.0,2768.0
2015-01-01 21:00:00,2015-01-01,22,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7700.0,2738.0
2015-01-01 22:00:00,2015-01-01,23,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7700.0,2659.0
2015-01-01 23:00:00,2015-01-01,24,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7611.0,2489.0
2015-01-02 00:00:00,2015-01-02,1,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7422.0,2197.0
2015-01-02 01:00:00,2015-01-02,2,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7422.0,1937.0
2015-01-02 02:00:00,2015-01-02,3,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7422.0,1848.0
2015-01-02 03:00:00,2015-01-02,4,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7422.0,1715.0
2015-01-02 04:00:00,2015-01-02,5,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7422.0,1523.0
2015-01-02 05:00:00,2015-01-02,6,251.0,5345.0,1575.0,0.0,1866.0,11600.0,7422.0,1360.0
2015-01-02 06:00:00,2015-01-02,7,251.0,5345.0,1575.0,0.0,1866.0,11600.0,7170.0,1288.0
2015-01-02 07:00:00,2015-01-02,8,258.0,5345.0,1575.0,0.0,1866.0,11600.0,7425.0,1113.0
2015-01-02 08:00:00,2015-01-02,9,262.0,5345.0,1575.0,0.0,1866.0,11600.0,7698.0,953.0
2015-01-02 09:00:00,2015-01-02,10,261.0,5345.0,1575.0,0.0,1866.0,11600.0,8085.0,875.0
2015-01-02 10:00:00,2015-01-02,11,264.0,5345.0,1575.0,0.0,1866.0,11600.0,7956.0,907.0
2015-01-02 11:00:00,2015-01-02,12,264.0,5345.0,1575.0,0.0,1866.0,11600.0,7933.0,1130.0
2015-01-02 12:00:00,2015-01-02,13,263.0,5345.0,1575.0,0.0,1866.0,11600.0,7858.0,1322.0
2015-01-02 13:00:00,2015-01-02,14,263.0,5345.0,1575.0,0.0,1866.0,11600.0,7588.0,1268.0
2015-01-02 14:00:00,2015-01-02,15,262.0,5345.0,1575.0,0.0,1866.0,11600.0,7591.0,911.0
2015-01-02 15:00:00,2015-01-02,16,260.0,5345.0,1575.0,0.0,1866.0,11600.0,7957.0,647.0
2015-01-02 16:00:00,2015-01-02,17,259.0,5345.0,1575.0,0.0,1866.0,11600.0,8083.0,534.0
2015-01-02 17:00:00,2015-01-02,18,258.0,5345.0,1575.0,0.0,1866.0,11600.0,8085.0,366.0
2015-01-02 18:00:00,2015-01-02,19,253.0,5345.0,1575.0,0.0,1866.0,11600.0,8083.0,259.0
2015-01-02 19:00:00,2015-01-02,20,243.0,5345.0,1575.0,0.0,1866.0,11600.0,8083.0,278.0
2015-01-02 20:00:00,2015-01-02,21,243.0,5345.0,1575.0,0.0,1866.0,11600.0,8062.0,278.0
2015-01-02 21:00:00,2015-01-02,22,243.0,5345.0,1575.0,0.0,1866.0,11600.0,8062.0,297.0
2015-01-02 22:00:00,2015-01-02,23,243.0,5345.0,1575.0,0.0,1866.0,11600.0,8082.0,254.0
2015-01-02 23:00:00,2015-01-02,24,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7984.0,217.0
2015-01-03 00:00:00,2015-01-03,1,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7730.0,264.0
2015-01-03 01:00:00,2015-01-03,2,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7729.0,483.0
2015-01-03 02:00:00,2015-01-03,3,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7478.0,851.0
2015-01-03 03:00:00,2015-01-03,4,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7435.0,1238.0
2015-01-03 04:00:00,2015-01-03,5,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7068.0,1417.0
2015-01-03 05:00:00,2015-01-03,6,243.0,5345.0,1575.0,0.0,1866.0,11600.0,7150.0,1409.0
2015-01-03 06:00:00,2015-01-03,7,243.0,5378.0,1575.0,0.0,1866.0,11600.0,7201.0,1397.0
2015-01-03 07:00:00,2015-01-03,8,243.0,5378.0,1575.0,0.0,1866.0,11600.0,7201.0,1182.0
2015-01-03 08:00:00,2015-01-03,9,243.0,4809.0,1575.0,0.0,1466.0,11600.0,7485.0,1103.0
2015-01-03 09:00:00,2015-01-03,10,243.0,4809.0,1575.0,0.0,1466.0,11600.0,7970.0,1216.0
2015-01-03 10:00:00,2015-01-03,11,243.0,4809.0,1575.0,0.0,1466.0,11600.0,7970.0,1235.0
2015-01-03 11:00:00,2015-01-03,12,243.0,4809.0,1575.0,0.0,1466.0,11600.0,7968.0,1063.0
2015-01-03 12:00:00,2015-01-03,13,243.0,4809.0,1575.0,0.0,1466.0,11600.0,7926.0,1101.0
2015-01-03 13:00:00,2015-01-03,14,243.0,4809.0,1575.0,0.0,1466.0,11600.0,7942.0,1298.0
2015-01-03 14:00:00,2015-01-03,15,243.0,4809.0,1575.0,0.0,1466.0,11600.0,7944.0,1397.0
2015-01-03 15:00:00,2015-01-03,16,243.0,4869.0,1575.0,0.0,1466.0,11600.0,7969.0,1410.0
2015-01-03 16:00:00,2015-01-03,17,243.0,4869.0,1575.0,0.0,1466.0,11595.0,7968.0,1200.0
2015-01-03 17:00:00,2015-01-03,18,243.0,4801.0,1575.0,0.0,1466.0,11600.0,7969.0,954.0
2015-01-03 18:00:00,2015-01-03,19,243.0,4514.0,1575.0,0.0,1430.0,11600.0,7987.0,706.0
2015-01-03 19:00:00,2015-01-03,20,243.0,5054.0,1575.0,0.0,1935.0,11600.0,7986.0,445.0
2015-01-03 20:00:00,2015-01-03,21,243.0,5054.0,1575.0,0.0,1935.0,11600.0,7986.0,390.0
2015-01-03 21:00:00,2015-01-03,22,243.0,5054.0,1575.0,0.0,1935.0,11600.0,7985.0,513.0
2015-01-03 22:00:00,2015-01-03,23,243.0,5122.0,1575.0,0.0,1935.0,11600.0,7985.0,607.0
2015-01-03 23:00:00,2015-01-03,24,243.0,5122.0,1575.0,0.0,1971.0,11600.0,7985.0,781.0
2015-01-04 00:00:00,2015-01-04,1,243.0,5409.0,1575.0,0.0,1971.0,11600.0,7726.0,357.0
2015-01-04 01:00:00,2015-01-04,2,243.0,5409.0,1575.0,0.0,1971.0,11600.0,7726.0,448.0
2015-01-04 02:00:00,2015-01-04,3,243.0,5409.0,1575.0,0.0,1971.0,11600.0,7516.0,372.0
2015-01-04 03:00:00,2015-01-04,4,243.0,5409.0,1575.0,0.0,1971.0,11600.0,7504.0,282.0
2015-01-04 04:00:00,2015-01-04,5,243.0,5409.0,1575.0,0.0,1971.0,11600.0,7504.0,276.0
2015-01-04 05:00:00,2015-01-04,6,247.0,5409.0,1575.0,0.0,1971.0,11600.0,7504.0,271.0
2015-01-04 06:00:00,2015-01-04,7,248.0,5409.0,1575.0,0.0,1971.0,11600.0,7681.0,189.0
2015-01-04 07:00:00,2015-01-04,8,251.0,5409.0,1575.0,0.0,1971.0,11600.0,7988.0,117.0
2015-01-04 08:00:00,2015-01-04,9,243.0,5409.0,1575.0,0.0,1971.0,11600.0,7989.0,240.0
2015-01-04 09:00:00,2015-01-04,10,243.0,5409.0,1575.0,0.0,1971.0,11599.0,7989.0,695.0
2015-01-04 10:00:00,2015-01-04,11,243.0,5409.0,1575.0,0.0,1971.0,11589.0,7989.0,1559.0
2015-01-04 11:00:00,2015-01-04,12,243.0,5409.0,1575.0,0.0,1971.0,11599.0,7968.0,1958.0
2015-01-04 12:00:00,2015-01-04,13,243.0,5409.0,1575.0,0.0,1971.0,11599.0,7989.0,2113.0
2015-01-04 13:00:00,2015-01-04,14,243.0,5409.0,1575.0,0.0,1971.0,11599.0,7989.0,2374.0
2015-01-04 14:00:00,2015-01-04,15,243.0,5409.0,1575.0,0.0,1971.0,11599.0,7769.0,2084.0
2015-01-04 15:00:00,2015-01-04,16,243.0,5409.0,1575.0,0.0,1971.0,11599.0,7764.0,2133.0
2015-01-04 16:00:00,2015-01-04,17,244.0,5409.0,1575.0,0.0,1971.0,11599.0,7901.0,2145.0
2015-01-04 17:00:00,2015-01-04,18,243.0,5409.0,1575.0,0.0,1971.0,11599.0,7988.0,2256.0
2015-01-04 18:00:00,2015-01-04,19,243.0,5409.0,1575.0,0.0,1971.0,11599.0,7986.0,2529.0
2015-01-04 19:00:00,2015-01-04,20,243.0,5409.0,1575.0,0.0,1971.0,11599.0,7953.0,2567.0
