,Date,Hour,Gas+East,Gas+Ottawa,Oil+East,Solar+East,Water+East,Wind+East
2015-01-01 0:00,2015-01-01,1,374,75,1575,0,1709,200
2015-01-01 1:00,2015-01-01,2,374,75,1575,0,1709,229
2015-01-01 2:00,2015-01-01,3,374,75,1575,0,1709,231
2015-01-01 3:00,2015-01-01,4,374,75,1575,0,1709,232
2015-01-01 4:00,2015-01-01,5,374,75,1575,0,1709,229
2015-01-01 5:00,2015-01-01,6,374,75,1575,0,1709,234
2015-01-01 6:00,2015-01-01,7,374,75,1575,0,1709,236
2015-01-01 7:00,2015-01-01,8,374,75,1575,0,1709,232
2015-01-01 8:00,2015-01-01,9,374,75,1575,0,1709,235
2015-01-01 9:00,2015-01-01,10,374,75,1575,0,1967,238
2015-01-01 10:00,2015-01-01,11,374,75,1575,0,1967,236
2015-01-01 11:00,2015-01-01,12,374,75,1575,0,1967,234
2015-01-01 12:00,2015-01-01,13,374,75,1575,0,1967,237
2015-01-01 13:00,2015-01-01,14,374,75,1575,0,1967,237
2015-01-01 14:00,2015-01-01,15,374,75,1575,0,1967,238
2015-01-01 15:00,2015-01-01,16,374,75,1575,0,1967,238
2015-01-01 16:00,2015-01-01,17,374,75,1575,0,1967,237
2015-01-01 17:00,2015-01-01,18,374,75,1575,0,1967,241
2015-01-01 18:00,2015-01-01,19,374,75,1575,0,1967,240
2015-01-01 19:00,2015-01-01,20,374,75,1575,0,1967,238
2015-01-01 20:00,2015-01-01,21,374,75,1575,0,1967,237
2015-01-01 21:00,2015-01-01,22,374,75,1575,0,1967,236
2015-01-01 22:00,2015-01-01,23,374,75,1575,0,1967,229
2015-01-01 23:00,2015-01-01,24,374,75,1575,0,1967,214
2015-01-02 0:00,2015-01-02,1,374,75,1575,0,1709,208
2015-01-02 1:00,2015-01-02,2,374,75,1575,0,1709,204
2015-01-02 2:00,2015-01-02,3,374,75,1575,0,1709,199
2015-01-02 3:00,2015-01-02,4,374,75,1575,0,1709,139
2015-01-02 4:00,2015-01-02,5,374,75,1575,0,1709,122
2015-01-02 5:00,2015-01-02,6,374,75,1575,0,1709,109
2015-01-02 6:00,2015-01-02,7,374,75,1575,0,1709,61
2015-01-02 7:00,2015-01-02,8,374,75,1575,0,1805,55
2015-01-02 8:00,2015-01-02,9,374,75,1575,0,1805,44
2015-01-02 9:00,2015-01-02,10,374,75,1575,0,2063,28
2015-01-02 10:00,2015-01-02,11,374,75,1575,0,2063,26
2015-01-02 11:00,2015-01-02,12,374,75,1575,0,2063,23
2015-01-02 12:00,2015-01-02,13,374,75,1575,0,2063,26
2015-01-02 13:00,2015-01-02,14,374,75,1575,0,2063,47
2015-01-02 14:00,2015-01-02,15,374,75,1575,0,2063,54
2015-01-02 15:00,2015-01-02,16,374,75,1575,0,2063,46
2015-01-02 16:00,2015-01-02,17,374,75,1575,0,2063,30
2015-01-02 17:00,2015-01-02,18,374,75,1575,0,2063,18
2015-01-02 18:00,2015-01-02,19,374,75,1575,0,2063,13
2015-01-02 19:00,2015-01-02,20,374,75,1575,0,2063,17
2015-01-02 20:00,2015-01-02,21,374,75,1575,0,2063,26
2015-01-02 21:00,2015-01-02,22,374,75,1575,0,2063,32
2015-01-02 22:00,2015-01-02,23,374,75,1575,0,2063,16
2015-01-02 23:00,2015-01-02,24,374,75,1575,0,1967,6
2015-01-03 0:00,2015-01-03,1,374,75,1575,0,1709,3
2015-01-03 1:00,2015-01-03,2,374,75,1575,0,1709,18
2015-01-03 2:00,2015-01-03,3,374,75,1575,0,1709,23
2015-01-03 3:00,2015-01-03,4,374,75,1575,0,1709,30
2015-01-03 4:00,2015-01-03,5,374,75,1575,0,1709,50
2015-01-03 5:00,2015-01-03,6,374,75,1575,0,1709,56
2015-01-03 6:00,2015-01-03,7,374,75,1575,0,1709,47
2015-01-03 7:00,2015-01-03,8,374,75,1575,0,1709,41
2015-01-03 8:00,2015-01-03,9,374,75,1575,0,1709,40
2015-01-03 9:00,2015-01-03,10,374,75,1575,0,1967,44
2015-01-03 10:00,2015-01-03,11,374,75,1575,0,1967,52
2015-01-03 11:00,2015-01-03,12,374,75,1575,0,1967,61
2015-01-03 12:00,2015-01-03,13,374,75,1575,0,1942,87
2015-01-03 13:00,2015-01-03,14,374,75,1575,0,1942,97
2015-01-03 14:00,2015-01-03,15,374,75,1575,0,1942,85
2015-01-03 15:00,2015-01-03,16,374,75,1575,0,1967,88
2015-01-03 16:00,2015-01-03,17,374,75,1575,0,1967,110
2015-01-03 17:00,2015-01-03,18,374,75,1575,0,1967,110
2015-01-03 18:00,2015-01-03,19,374,75,1575,0,1967,69
2015-01-03 19:00,2015-01-03,20,374,75,1575,0,1967,64
2015-01-03 20:00,2015-01-03,21,374,75,1575,0,1967,65
2015-01-03 21:00,2015-01-03,22,374,75,1575,0,1967,103
2015-01-03 22:00,2015-01-03,23,374,75,1575,0,1967,122
2015-01-03 23:00,2015-01-03,24,374,75,1575,0,1967,116
2015-01-04 0:00,2015-01-04,1,374,75,1575,0,1709,40
2015-01-04 1:00,2015-01-04,2,374,75,1575,0,1709,21
2015-01-04 2:00,2015-01-04,3,374,75,1575,0,1709,16
2015-01-04 3:00,2015-01-04,4,374,75,1575,0,1709,12
2015-01-04 4:00,2015-01-04,5,374,75,1575,0,1709,16
2015-01-04 5:00,2015-01-04,6,374,75,1575,0,1709,35
2015-01-04 6:00,2015-01-04,7,374,75,1575,0,1709,25
2015-01-04 7:00,2015-01-04,8,374,75,1575,0,1967,15
2015-01-04 8:00,2015-01-04,9,374,75,1575,0,1967,13
2015-01-04 9:00,2015-01-04,10,374,75,1575,0,1967,14
2015-01-04 10:00,2015-01-04,11,374,75,1575,0,1967,14
2015-01-04 11:00,2015-01-04,12,374,75,1575,0,1946,8
2015-01-04 12:00,2015-01-04,13,374,75,1575,0,1967,21
2015-01-04 13:00,2015-01-04,14,374,75,1575,0,1967,193
2015-01-04 14:00,2015-01-04,15,374,75,1575,0,1967,199
2015-01-04 15:00,2015-01-04,16,374,75,1575,0,1967,203
2015-01-04 16:00,2015-01-04,17,374,75,1575,0,1967,209
2015-01-04 17:00,2015-01-04,18,374,75,1575,0,1967,217
2015-01-04 18:00,2015-01-04,19,374,75,1575,0,1967,219
2015-01-04 19:00,2015-01-04,20,374,75,1575,0,1967,218
