,Date,Hour,Bruce,East,Essa,Niagara,Northeast,Northwest,Ottawa,Southwest,Toronto,West
2015-01-01 00:00:00,2015-01-01,1,5759.0,3858.0,381.0,2763.0,2833.0,935.0,75.0,1640.0,8397.0,4095.0
2015-01-01 01:00:00,2015-01-01,2,5754.0,3887.0,381.0,2763.0,2846.0,938.0,75.0,1630.0,8397.0,4049.0
2015-01-01 02:00:00,2015-01-01,3,5739.0,3889.0,381.0,2763.0,2847.0,918.0,75.0,1624.0,8397.0,4041.0
2015-01-01 03:00:00,2015-01-01,4,5711.0,3890.0,381.0,2763.0,2861.0,913.0,75.0,1624.0,8397.0,4041.0
2015-01-01 04:00:00,2015-01-01,5,5718.0,3887.0,381.0,2763.0,2858.0,923.0,75.0,1597.0,8397.0,4038.0
2015-01-01 05:00:00,2015-01-01,6,5734.0,3892.0,381.0,2763.0,2839.0,935.0,75.0,1617.0,8397.0,4045.0
2015-01-01 06:00:00,2015-01-01,7,5755.0,3894.0,381.0,2763.0,2833.0,932.0,75.0,1633.0,8397.0,4047.0
2015-01-01 07:00:00,2015-01-01,8,5763.0,3890.0,381.0,2763.0,2830.0,928.0,75.0,1647.0,8397.0,4046.0
2015-01-01 08:00:00,2015-01-01,9,5751.0,3893.0,381.0,2763.0,2830.0,940.0,75.0,1658.0,8397.0,4040.0
2015-01-01 09:00:00,2015-01-01,10,5759.0,4154.0,381.0,2763.0,2851.0,953.0,75.0,1652.0,8397.0,4060.0
2015-01-01 10:00:00,2015-01-01,11,5810.0,4152.0,381.0,2763.0,2850.0,940.0,75.0,1650.0,8397.0,4121.0
2015-01-01 11:00:00,2015-01-01,12,5771.0,4150.0,381.0,2763.0,2837.0,946.0,75.0,1638.0,8397.0,4079.0
2015-01-01 12:00:00,2015-01-01,13,5802.0,4153.0,381.0,2763.0,2743.0,935.0,75.0,1624.0,8397.0,4119.0
2015-01-01 13:00:00,2015-01-01,14,5806.0,4153.0,381.0,2763.0,2675.0,933.0,75.0,1630.0,8397.0,4125.0
2015-01-01 14:00:00,2015-01-01,15,5776.0,4154.0,381.0,2763.0,2683.0,943.0,75.0,1641.0,8397.0,4106.0
2015-01-01 15:00:00,2015-01-01,16,5755.0,4154.0,381.0,2763.0,2766.0,942.0,75.0,1651.0,8397.0,4050.0
